k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
1	10	11	2.62341	0.00228	0.001714	1	0.0909091		1	10	21	2.33369	0.005529	0.003319	1	0.0952381		1	10	41	4.23736	0.016246	0.00727	1	0.0731707		1	1	11	1.32056	0.000586	0.000606	0.272727	0.272727		1	1	21	0.771226	0.001277	0.001305	0.0952381	0.0952381		1	1	41	0.825118	0.002943	0.003016	0.121951	0.121951		1	3	11	1.34589	0.000973	0.000868	0.0909091	0.272727		1	3	21	1.14364	0.002261	0.001774	0.0952381	0		1	3	41	1.39367	0.005887	0.003951	0.0487805	0		1	5	11	1.54165	0.001351	0.001121	0	0.0909091		1	5	21	1.17068	0.003191	0.002199	0.142857	0.0952381		1	5	41	1.98591	0.008774	0.004826	0	0.0487805		1	7	11	2.78963	0.001768	0.001405	0	0.0909091		1	7	21	1.59395	0.004151	0.002656	0	0		1	7	41	2.85601	0.011694	0.00575	0	0.0487805		1	9	11	2.35118	0.002221	0.001597	0.272727	0.272727		1	9	21	2.13406	0.005166	0.003177	0.047619	0.142857		1	9	41	3.69998	0.014621	0.006598	0.0487805	0.0243902
2	10	11	3.00087	0.003343	0.002753	1	0		2	10	21	2.66809	0.007778	0.005441	1	0.0952381		2	10	41	4.59876	0.020645	0.011207	1	0.097561		2	1	11	1.74673	0.000792	0.000809	0.181818	0.181818		2	1	21	2.12453	0.001606	0.001638	0.190476	0.190476		2	1	41	1.2272	0.003725	0.003776	0.170732	0.170732		2	3	11	2.18943	0.001337	0.001224	0.545455	0.545455		2	3	21	1.58198	0.003016	0.002554	0.0952381	0		2	3	41	1.80862	0.007441	0.005408	0	0.0243902		2	5	11	1.97381	0.001898	0.001665	0	0.181818		2	5	21	1.5905	0.004382	0.003368	0.0952381	0.0952381		2	5	41	2.3504	0.011196	0.007093	0	0.0731707		2	7	11	3.16084	0.00255	0.002162	0	0.181818		2	7	21	1.94018	0.005694	0.004152	0	0.142857		2	7	41	3.21445	0.014787	0.008653	0	0.0487805		2	9	11	2.708	0.003327	0.002748	0.818182	0.454545		2	9	21	2.45006	0.007173	0.005128	0	0.047619		2	9	41	4.05202	0.01879	0.010461	0	0
3	10	11	4.72485	0.004549	0.003931	1	0.272727		3	10	21	5.49521	0.01006	0.007527	1	0.142857		3	10	41	5.42277	0.025438	0.015598	1	0.097561		3	1	11	3.81717	0.000999	0.001019	0.454545	0.454545		3	1	21	2.66157	0.002019	0.002045	0.238095	0.238095		3	1	41	1.77014	0.00456	0.004623	0.268293	0.268293		3	3	11	3.25264	0.001761	0.001637	0.636364	0.636364		3	3	21	2.81931	0.003838	0.00333	0.285714	0.142857		3	3	41	2.58647	0.009121	0.006983	0.0487805	0.0243902		3	5	11	2.96469	0.002537	0.002279	0.0909091	0.181818		3	5	21	6.45293	0.005586	0.004514	0	0.047619		3	5	41	3.19442	0.013739	0.009376	0.0243902	0.0487805		3	7	11	4.66524	0.004679	0.004291	0.181818	0.181818		3	7	21	5.50007	0.007321	0.005715	0.0952381	0.047619		3	7	41	4.10729	0.018344	0.011727	0	0.0487805		3	9	11	4.32823	0.00445	0.003911	0.727273	0.454545		3	9	21	5.3245	0.009164	0.006981	0	0		3	9	41	4.851	0.02291	0.01409	0.0243902	0.0487805
4	10	11	5.70136	0.005593	0.004965	1	0.181818		4	10	21	7.6254	0.012226	0.009614	1	0.142857		4	10	41	7.41074	0.030111	0.019558	1	0.0731707		4	1	11	4.88135	0.001239	0.001252	0.636364	0.636364		4	1	21	3.88043	0.002433	0.002464	0.380952	0.380952		4	1	41	3.3747	0.005311	0.005373	0.341463	0.341463		4	3	11	3.89964	0.002175	0.002043	0.545455	0.636364		4	3	21	3.71212	0.004585	0.004024	0.380952	0.190476		4	3	41	3.64036	0.010832	0.008535	0.146341	0.0243902		4	5	11	4.61808	0.00316	0.002894	0	0.181818		4	5	21	8.25212	0.006757	0.005655	0	0.047619		4	5	41	4.35599	0.016271	0.01165	0	0.0731707		4	7	11	5.37943	0.00411	0.003703	0.363636	0.272727		4	7	21	9.23083	0.008962	0.00727	0.190476	0.0952381		4	7	41	5.41849	0.021605	0.014703	0.0731707	0.0243902		4	9	11	5.28683	0.005449	0.004831	0.727273	0.454545		4	9	21	7.74561	0.011189	0.008915	0.0952381	0.047619		4	9	41	6.61042	0.027079	0.017878	0.0243902	0.0487805
5	10	11	6.32091	0.006773	0.006128	1	0.181818		5	10	21	8.3614	0.014589	0.011836	1	0.190476		5	10	41	8.05679	0.034988	0.024031	1	0.097561		5	1	11	6.02681	0.001331	0.00135	0.636364	0.636364		5	1	21	4.61316	0.002774	0.002808	0.380952	0.380952		5	1	41	4.18739	0.006142	0.00621	0.292683	0.292683		5	3	11	4.7056	0.002631	0.002496	0.909091	0.818182		5	3	21	4.55431	0.005422	0.00485	0.428571	0.333333		5	3	41	4.32371	0.012478	0.010076	0.0731707	0.0487805		5	5	11	5.05212	0.003816	0.003538	0	0.181818		5	5	21	8.80738	0.007989	0.006842	0.047619	0.047619		5	5	41	4.99697	0.018748	0.013995	0.0243902	0.097561		5	7	11	6.16731	0.004949	0.004527	0.363636	0.363636		5	7	21	9.82922	0.010595	0.008779	0.0952381	0.142857		5	7	41	6.06741	0.024893	0.017772	0.0487805	0.0487805		5	9	11	5.86749	0.006897	0.006314	0.727273	0.454545		5	9	21	8.44194	0.013205	0.010861	0.047619	0.047619		5	9	41	7.29441	0.031245	0.021705	0.097561	0.0731707
6	10	11	7.22928	0.00788	0.007206	1	0.181818		6	10	21	9.02844	0.01698	0.014123	1	0.142857		6	10	41	8.7516	0.039368	0.028099	1	0.121951		6	1	11	6.93252	0.001524	0.001544	0.818182	0.818182		6	1	21	7.48237	0.003264	0.003308	0.428571	0.428571		6	1	41	6.3675	0.007014	0.007085	0.414634	0.414634		6	3	11	5.70764	0.00298	0.002835	0.909091	0.818182		6	3	21	5.94978	0.006282	0.005659	0.380952	0.380952		6	3	41	5.61185	0.014014	0.011566	0.0731707	0.0487805		6	5	11	7.54421	0.004414	0.004122	0	0.181818		6	5	21	9.86214	0.009236	0.008011	0.047619	0.0952381		6	5	41	5.83923	0.021281	0.016237	0.0243902	0.097561		6	7	11	7.02881	0.005809	0.005371	0.545455	0.272727		6	7	21	10.5487	0.01224	0.010383	0.0952381	0.142857		6	7	41	6.75783	0.028219	0.020776	0.0487805	0.097561		6	9	11	6.87682	0.007743	0.007129	0.727273	0.454545		6	9	21	9.07054	0.015222	0.012766	0.0952381	0.142857		6	9	41	8.02204	0.035354	0.025406	0.097561	0.121951
7	10	11	8.80315	0.009056	0.008345	1	0.181818		7	10	21	11.7293	0.019222	0.016253	1	0.142857		7	10	41	10.2451	0.04401	0.032132	1	0.097561		7	1	11	10.1942	0.001773	0.001804	0.909091	0.909091		7	1	21	8.56627	0.003604	0.003648	0.380952	0.380952		7	1	41	7.16885	0.007813	0.00785	0.390244	0.390244		7	3	11	9.01719	0.003392	0.003254	0.818182	0.818182		7	3	21	6.92168	0.007048	0.006434	0.428571	0.428571		7	3	41	6.48531	0.015643	0.013067	0.146341	0.0731707		7	5	11	8.899	0.005012	0.004711	0.181818	0.181818		7	5	21	11.6688	0.010451	0.009146	0.0952381	0		7	5	41	7.80768	0.023721	0.018507	0.0731707	0.121951		7	7	11	8.03817	0.006673	0.006212	0.545455	0.181818		7	7	21	13.1633	0.013752	0.011879	0.142857	0.0952381		7	7	41	9.01994	0.031535	0.023746	0.097561	0.121951		7	9	11	8.17956	0.008767	0.008056	0.727273	0.454545		7	9	21	11.2509	0.01728	0.014715	0.0952381	0.047619		7	9	41	9.23404	0.039555	0.029173	0.0487805	0.097561
8	10	11	9.83028	0.010194	0.009488	1	0.272727		8	10	21	12.6904	0.021057	0.018064	1	0.190476		8	10	41	11.6028	0.048732	0.036528	1	0.0731707		8	1	11	11.4714	0.001965	0.001999	0.727273	0.727273		8	1	21	10.0997	0.004025	0.00404	0.380952	0.380952		8	1	41	9.83843	0.008558	0.008649	0.341463	0.341463		8	3	11	10.2646	0.003809	0.003651	0.909091	0.818182		8	3	21	8.22002	0.007818	0.007149	0.47619	0.47619		8	3	41	9.92982	0.017369	0.014727	0.097561	0.0731707		8	5	11	10.5912	0.005642	0.005327	0.0909091	0.272727		8	5	21	12.5727	0.011604	0.010298	0.0952381	0		8	5	41	8.98846	0.02623	0.020876	0.0731707	0.097561		8	7	11	17.6371	0.007412	0.00693	0.545455	0.272727		8	7	21	14.2155	0.01539	0.013397	0.142857	0.0952381		8	7	41	10.2756	0.034853	0.026788	0.0731707	0.0731707		8	9	11	9.07965	0.010037	0.009315	0.727273	0.454545		8	9	21	12.4989	0.019282	0.016677	0.047619	0.0952381		8	9	41	10.4078	0.043887	0.03296	0.097561	0.097561
9	10	11	11.1526	0.011334	0.010555	1	0.272727		9	10	21	15.0159	0.023424	0.020296	1	0.142857		9	10	41	13.5391	0.053508	0.040633	1	0.097561		9	1	11	12.339	0.002209	0.002233	0.727273	0.727273		9	1	21	14.1855	0.004482	0.004454	0.47619	0.47619		9	1	41	24.318	0.009316	0.009367	0.341463	0.341463		9	3	11	11.353	0.004233	0.004069	0.909091	0.818182		9	3	21	16.2342	0.008634	0.007965	0.47619	0.47619		9	3	41	12.5869	0.019015	0.016296	0.097561	0.0243902		9	5	11	11.4473	0.006216	0.005904	0.0909091	0.181818		9	5	21	14.7382	0.01303	0.011608	0.0952381	0.047619		9	5	41	10.7238	0.028834	0.023097	0.0731707	0.121951		9	7	11	18.5122	0.008257	0.007738	0.636364	0.181818		9	7	21	16.1622	0.017063	0.015002	0.285714	0.0952381		9	7	41	11.917	0.038212	0.029872	0.097561	0.097561		9	9	11	10.3733	0.011231	0.010527	0.727273	0.454545		9	9	21	16.5633	0.021371	0.018623	0.0952381	0.0952381		9	9	41	13.8266	0.048005	0.036919	0.097561	0.097561
10	10	11	12.7262	0.012419	0.011617	1	0.272727		10	10	21	16.5649	0.025603	0.022333	1	0.190476		10	10	41	14.6177	0.057912	0.044689	1	0.0731707		10	1	11	12.3908	0.002356	0.002378	0.727273	0.727273		10	1	21	16.0229	0.00486	0.004901	0.380952	0.380952		10	1	41	26.4457	0.010157	0.010213	0.268293	0.268293		10	3	11	13.2795	0.004737	0.004576	0.818182	0.818182		10	3	21	17.7939	0.009516	0.008825	0.47619	0.52381		10	3	41	13.5791	0.02059	0.017773	0.146341	0.0487805		10	5	11	13.7791	0.006837	0.00652	0.272727	0.181818		10	5	21	15.9776	0.014092	0.012628	0.142857	0		10	5	41	11.8707	0.031186	0.025447	0.097561	0.146341		10	7	11	22.1303	0.009295	0.008751	0.636364	0.181818		10	7	21	18.0065	0.018643	0.016509	0.190476	0.0952381		10	7	41	13.1626	0.04186	0.033058	0.097561	0.097561		10	9	11	12.6495	0.012448	0.01173	0.727273	0.454545		10	9	21	17.5966	0.023342	0.020513	0.0952381	0.0952381		10	9	41	14.8971	0.052334	0.040731	0.146341	0.097561
