k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
1	10	21	11.1934	0.051036	0.054494	1	0.142857		1	1	21	0.0993162	0.017776	0.018375	0.238095	0.238095		1	2	21	0.348553	0.018981	0.01992	0.0952381	0.190476		1	3	21	0.812353	0.022382	0.023608	0.047619	0.047619		1	4	21	1.6727	0.026104	0.027635	0.047619	0.142857		1	5	21	2.70436	0.033323	0.035192	0	0		1	6	21	5.37779	0.034096	0.036185	0.142857	0		1	7	21	5.1939	0.036856	0.039272	0.047619	0		1	8	21	6.87777	0.040896	0.043608	0	0		1	9	21	8.8119	0.043422	0.046466	0.0952381	0.047619
2	10	21	11.2749	0.090818	0.094459	1	0.047619		2	1	21	0.112367	0.02242	0.023048	0.238095	0.238095		2	2	21	0.364884	0.029229	0.030191	0.285714	0.380952		2	3	21	0.83322	0.035769	0.037021	0.0952381	0		2	4	21	1.7006	0.043223	0.044849	0.047619	0.380952		2	5	21	2.74057	0.051213	0.053195	0.0952381	0.047619		2	6	21	5.42243	0.057398	0.059644	0.0952381	0		2	7	21	5.24816	0.064245	0.066817	0.047619	0.142857		2	8	21	6.93703	0.070927	0.073842	0.047619	0.047619		2	9	21	8.8834	0.078167	0.081453	0.142857	0.142857
3	10	21	11.5869	0.13241	0.136106	1	0		3	1	21	0.124243	0.029134	0.029799	0.285714	0.285714		3	2	21	0.396858	0.040182	0.041195	0.380952	0.428571		3	3	21	0.89659	0.049615	0.050944	0.0952381	0.047619		3	4	21	1.7671	0.060558	0.062222	0.238095	0.333333		3	5	21	2.81323	0.073616	0.075624	0	0		3	6	21	5.52734	0.081632	0.083935	0.0952381	0.142857		3	7	21	6.27193	0.093479	0.09618	0	0.047619		3	8	21	7.08406	0.100394	0.103356	0	0.047619		3	9	21	9.06533	0.118718	0.122134	0.047619	0.190476
4	10	21	11.9251	0.169177	0.173053	1	0.047619		4	1	21	0.140739	0.035703	0.036442	0.285714	0.285714		4	2	21	0.415279	0.050723	0.05177	0.333333	0.47619		4	3	21	0.930345	0.062898	0.064275	0.142857	0.142857		4	4	21	1.81908	0.077295	0.079037	0.333333	0.380952		4	5	21	2.92682	0.093539	0.095676	0	0		4	6	21	5.60541	0.104748	0.107141	0.142857	0.047619		4	7	21	6.37078	0.120807	0.123594	0	0.0952381		4	8	21	7.83403	0.132316	0.135467	0	0.047619		4	9	21	9.3453	0.153082	0.156634	0	0.047619
5	10	21	12.057	0.216999	0.221125	1	0.047619		5	1	21	0.15397	0.042974	0.043731	0.333333	0.333333		5	2	21	0.458724	0.060786	0.061862	0.428571	0.714286		5	3	21	0.978464	0.077242	0.078706	0.142857	0.047619		5	4	21	1.86342	0.095849	0.09772	0.285714	0.428571		5	5	21	2.99025	0.12347	0.12572	0	0		5	6	21	5.67615	0.126397	0.128966	0.0952381	0.047619		5	7	21	6.4559	0.152587	0.155508	0	0.0952381		5	8	21	7.91839	0.174191	0.177484	0.0952381	0		5	9	21	9.45844	0.2076	0.211349	0.142857	0.047619
6	10	21	12.172	0.256773	0.261101	1	0.047619		6	1	21	0.16575	0.049251	0.049996	0.333333	0.333333		6	2	21	0.477437	0.071703	0.072887	0.52381	0.714286		6	3	21	1.00874	0.092072	0.0936	0.142857	0.047619		6	4	21	1.917	0.113321	0.115269	0.428571	0.47619		6	5	21	3.03717	0.145574	0.147921	0.0952381	0		6	6	21	5.73831	0.153736	0.156365	0.190476	0.0952381		6	7	21	6.52625	0.176896	0.179968	0.047619	0.190476		6	8	21	8.00607	0.203798	0.207259	0.047619	0.047619		6	9	21	9.55982	0.246268	0.250191	0.190476	0.047619
7	10	21	12.7557	0.319277	0.323738	1	0.0952381		7	1	21	0.189458	0.059865	0.060671	0.285714	0.285714		7	2	21	0.516541	0.083953	0.085132	0.619048	0.761905		7	3	21	1.05953	0.107818	0.109371	0.190476	0.142857		7	4	21	1.96619	0.130512	0.132448	0.52381	0.47619		7	5	21	3.11292	0.167551	0.169978	0.0952381	0		7	6	21	5.91853	0.175159	0.177946	0.142857	0.0952381		7	7	21	6.71088	0.20886	0.21207	0.0952381	0.047619		7	8	21	8.87643	0.235337	0.238945	0	0.047619		7	9	21	9.84607	0.292819	0.296879	0.142857	0
8	10	21	12.9066	0.359598	0.36423	1	0.0952381		8	1	21	0.204153	0.064371	0.065167	0.285714	0.285714		8	2	21	0.550005	0.090721	0.091952	0.666667	0.761905		8	3	21	1.10665	0.119178	0.120813	0.238095	0		8	4	21	2.00875	0.145907	0.147951	0.47619	0.619048		8	5	21	3.16449	0.189181	0.191699	0.0952381	0		8	6	21	6.01247	0.198062	0.200865	0.190476	0.0952381		8	7	21	6.80392	0.245765	0.24916	0.0952381	0.047619		8	8	21	8.98046	0.26718	0.270873	0.047619	0.0952381		8	9	21	9.9771	0.347777	0.352015	0.190476	0
9	10	21	13.1592	0.390973	0.395684	1	0.047619		9	1	21	0.220529	0.07454	0.075372	0.285714	0.285714		9	2	21	0.598697	0.102479	0.103808	0.666667	0.761905		9	3	21	1.13512	0.138325	0.140044	0.142857	0		9	4	21	2.06262	0.176577	0.178732	0.714286	0.666667		9	5	21	3.36461	0.224725	0.22731	0.047619	0		9	6	21	6.09739	0.228918	0.23189	0.190476	0.0952381		9	7	21	7.54242	0.291307	0.294783	0.190476	0.047619		9	8	21	9.13573	0.30398	0.307745	0	0.0952381		9	9	21	10.2858	0.380599	0.384877	0.142857	0.047619
10	10	21	13.4593	0.461033	0.465933	1	0.0952381		10	1	21	0.237213	0.078246	0.079121	0.380952	0.380952		10	2	21	0.624251	0.118313	0.119685	0.714286	0.761905		10	3	21	1.17726	0.14958	0.15132	0.0952381	0		10	4	21	2.19241	0.187051	0.189309	0.619048	0.666667		10	5	21	3.48644	0.244212	0.246887	0.047619	0		10	6	21	6.18163	0.249642	0.252739	0.238095	0.190476		10	7	21	7.65503	0.311268	0.31485	0.190476	0.047619		10	8	21	9.45077	0.338855	0.343122	0.047619	0.0952381		10	9	21	10.5159	0.417847	0.422342	0.142857	0.047619
