k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
1	10	11	2.5054	0.025048	0.024495	1	0.0909091		1	10	21	11.0518	0.05177	0.049573	1	0.142857		1	10	41	44.2279	0.103996	0.094991	1	0.0487805		1	1	11	0.0398021	0.008168	0.008185	0.363636	0.363636		1	1	21	0.0966013	0.015863	0.015897	0.238095	0.238095		1	1	41	0.319457	0.037519	0.037538	0.097561	0.097561		1	3	11	0.228407	0.012596	0.012476	0.363636	0.272727		1	3	21	0.912207	0.024164	0.02367	0.047619	0.047619		1	3	41	3.75725	0.053882	0.051862	0.0243902	0.0243902		1	5	11	0.603346	0.01572	0.015491	0.0909091	0		1	5	21	2.6767	0.032795	0.031808	0	0		1	5	41	11.0489	0.067962	0.063716	0	0.0243902		1	7	11	1.47744	0.019347	0.018991	0	0.181818		1	7	21	4.93294	0.038172	0.036709	0.047619	0		1	7	41	19.7503	0.07785	0.071902	0	0.0731707		1	9	11	2.20057	0.023444	0.022937	0.363636	0.363636		1	9	21	9.62367	0.045379	0.043422	0.0952381	0.047619		1	9	41	34.9123	0.092243	0.084346	0.0243902	0.0243902
2	10	11	2.54179	0.045241	0.044652	1	0.0909091		2	10	21	11.1336	0.086548	0.084171	1	0.047619		2	10	41	44.4465	0.175875	0.166475	1	0.0487805		2	1	11	0.134642	0.011656	0.011675	0.363636	0.363636		2	1	21	0.109697	0.023643	0.02365	0.238095	0.238095		2	1	41	0.336735	0.04905	0.049082	0.243902	0.243902		2	3	11	0.242965	0.020244	0.020075	0.272727	0.636364		2	3	21	0.93336	0.037595	0.03707	0.0952381	0		2	3	41	3.79932	0.07902	0.076891	0.0243902	0		2	5	11	0.623579	0.025996	0.02574	0.0909091	0.181818		2	5	21	2.71258	0.051511	0.050464	0.0952381	0.047619		2	5	41	11.1324	0.107194	0.102627	0.0487805	0		2	7	11	1.50296	0.03338	0.033002	0	0.272727		2	7	21	4.9872	0.06593	0.064389	0.047619	0.142857		2	7	41	19.8702	0.13077	0.124503	0.0487805	0.0243902		2	9	11	2.23497	0.041265	0.040732	0.818182	0.636364		2	9	21	9.69549	0.079568	0.077472	0.142857	0.142857		2	9	41	35.0999	0.161407	0.153038	0	0.0243902
3	10	11	2.644	0.067849	0.067218	1	0		3	10	21	11.4457	0.130627	0.128174	1	0		3	10	41	45.0018	0.255714	0.245564	1	0.0243902		3	1	11	0.143557	0.015464	0.015484	0.363636	0.363636		3	1	21	0.121618	0.031483	0.031513	0.285714	0.285714		3	1	41	0.355446	0.069143	0.069161	0.439024	0.439024		3	3	11	0.263851	0.028166	0.02803	0.454545	0.545455		3	3	21	0.998195	0.052806	0.052261	0.0952381	0.047619		3	3	41	3.86413	0.116815	0.114589	0.0243902	0		3	5	11	0.655122	0.036946	0.036687	0.0909091	0.272727		3	5	21	2.78455	0.077549	0.076459	0	0		3	5	41	11.2701	0.154422	0.150066	0	0.0243902		3	7	11	1.5858	0.047725	0.047322	0.272727	0.272727		3	7	21	6.01904	0.094003	0.092333	0	0.047619		3	7	41	20.1875	0.186494	0.179781	0.0243902	0.0731707		3	9	11	2.32071	0.060413	0.059843	0.818182	0.636364		3	9	21	9.87783	0.114239	0.11207	0.047619	0.190476		3	9	41	35.5245	0.229251	0.22044	0.0243902	0.0243902
4	10	11	2.7061	0.086494	0.085845	1	0.0909091		4	10	21	11.7836	0.166838	0.164195	1	0.047619		4	10	41	45.8177	0.325686	0.315243	1	0.0243902		4	1	11	0.152713	0.018887	0.018904	0.363636	0.363636		4	1	21	0.138141	0.036308	0.036345	0.285714	0.285714		4	1	41	0.372825	0.080908	0.080959	0.463415	0.463415		4	3	11	0.280925	0.035446	0.03531	0.363636	0.545455		4	3	21	1.03255	0.066283	0.065696	0.142857	0.142857		4	3	41	4.07088	0.140155	0.137775	0	0		4	5	11	0.68415	0.047689	0.047441	0	0.272727		4	5	21	2.89713	0.096198	0.095031	0	0		4	5	41	11.4695	0.193966	0.189162	0.0487805	0.097561		4	7	11	1.62495	0.061899	0.061484	0.272727	0.272727		4	7	21	6.11778	0.121582	0.119835	0	0.0952381		4	7	41	20.6907	0.239689	0.23271	0.097561	0.0731707		4	9	11	2.36855	0.077654	0.077085	0.818182	0.636364		4	9	21	10.1574	0.1477	0.145412	0	0.047619		4	9	41	36.198	0.298709	0.289458	0	0.0243902
5	10	11	2.75208	0.110121	0.109442	1	0.0909091		5	10	21	11.9164	0.218969	0.216157	1	0.047619		5	10	41	46.1367	0.427883	0.416758	1	0.0487805		5	1	11	0.163482	0.022712	0.022728	0.363636	0.363636		5	1	21	0.151411	0.046156	0.04618	0.333333	0.333333		5	1	41	0.393024	0.098525	0.098532	0.512195	0.512195		5	3	11	0.302889	0.044045	0.043899	0.363636	0.636364		5	3	21	1.08226	0.084136	0.083525	0.142857	0.047619		5	3	41	4.12042	0.183926	0.181432	0.0731707	0		5	5	11	0.707092	0.057981	0.0577	0.0909091	0.363636		5	5	21	2.95978	0.123006	0.121625	0	0		5	5	41	11.6258	0.250245	0.245313	0.0731707	0.097561		5	7	11	1.65862	0.076547	0.076126	0.272727	0.272727		5	7	21	6.20241	0.154629	0.152809	0	0.0952381		5	7	41	20.8514	0.299344	0.291953	0.097561	0.0731707		5	9	11	2.41621	0.097031	0.096428	0.818182	0.636364		5	9	21	10.2692	0.185098	0.18269	0.142857	0.047619		5	9	41	36.4682	0.368702	0.359008	0.0243902	0.097561
6	10	11	2.81697	0.1291	0.128363	1	0		6	10	21	12.0322	0.250659	0.247783	1	0.047619		6	10	41	46.5249	0.496823	0.485348	1	0.0487805		6	1	11	0.173231	0.026428	0.026439	0.363636	0.363636		6	1	21	0.163224	0.052459	0.052489	0.333333	0.333333		6	1	41	0.424335	0.10297	0.103008	0.560976	0.560976		6	3	11	0.318979	0.056118	0.055955	0.363636	0.636364		6	3	21	1.1131	0.096737	0.096113	0.142857	0.047619		6	3	41	4.20291	0.224769	0.222187	0.0243902	0.0243902		6	5	11	0.733201	0.068367	0.068058	0.272727	0.272727		6	5	21	3.00639	0.139921	0.138657	0.0952381	0		6	5	41	11.7524	0.292937	0.287587	0.097561	0.0731707		6	7	11	1.70387	0.090031	0.089581	0.181818	0.272727		6	7	21	6.27223	0.1793	0.177411	0.047619	0.190476		6	7	41	21.1093	0.353723	0.346063	0.097561	0.0731707		6	9	11	2.47527	0.115989	0.11535	0.818182	0.636364		6	9	21	10.3699	0.218216	0.215689	0.190476	0.047619		6	9	41	36.7756	0.43949	0.429383	0.0243902	0.097561
7	10	11	2.92801	0.154565	0.153835	1	0		7	10	21	12.6174	0.300986	0.298084	1	0.0952381		7	10	41	47.2853	0.621235	0.609166	1	0.0487805		7	1	11	0.184009	0.030436	0.030452	0.363636	0.363636		7	1	21	0.186776	0.061376	0.061416	0.285714	0.285714		7	1	41	0.44519	0.129304	0.129301	0.609756	0.609756		7	3	11	0.33983	0.068048	0.067889	0.454545	0.545455		7	3	21	1.16466	0.117535	0.116871	0.190476	0.142857		7	3	41	4.31178	0.280262	0.277504	0.097561	0.0243902		7	5	11	0.789687	0.079208	0.078906	0.181818	0.454545		7	5	21	3.08195	0.165874	0.164605	0.0952381	0		7	5	41	11.9879	0.372006	0.366636	0.121951	0.097561		7	7	11	1.75581	0.106375	0.105883	0.272727	0.272727		7	7	21	6.45611	0.217055	0.21509	0.0952381	0.047619		7	7	41	21.4586	0.43658	0.428562	0.097561	0.0731707		7	9	11	2.54598	0.138885	0.138212	0.818182	0.636364		7	9	21	10.6564	0.260762	0.258168	0.142857	0		7	9	41	37.7503	0.494367	0.484013	0.0487805	0.0731707
8	10	11	2.97861	0.175324	0.174555	1	0		8	10	21	12.7673	0.333671	0.330613	1	0.0952381		8	10	41	47.9612	0.680662	0.668168	1	0.0731707		8	1	11	0.193562	0.034633	0.034649	0.363636	0.363636		8	1	21	0.201685	0.065654	0.065674	0.285714	0.285714		8	1	41	0.47191	0.133707	0.13372	0.585366	0.585366		8	3	11	0.356666	0.067105	0.066938	0.454545	0.636364		8	3	21	1.21337	0.130016	0.129336	0.238095	0		8	3	41	4.421	0.30672	0.30394	0.097561	0.0243902		8	5	11	0.81872	0.101225	0.100888	0.272727	0.454545		8	5	21	3.13327	0.183868	0.182522	0.0952381	0		8	5	41	12.1915	0.391135	0.385512	0.0731707	0.0487805		8	7	11	1.79149	0.120208	0.119738	0.545455	0.454545		8	7	21	6.54879	0.239585	0.237553	0.0952381	0.047619		8	7	41	21.8394	0.464294	0.456031	0.146341	0.0731707		8	9	11	2.59345	0.155339	0.154658	0.818182	0.636364		8	9	21	10.7881	0.292086	0.289335	0.190476	0		8	9	41	38.2905	0.569324	0.55847	0.146341	0.0731707
9	10	11	3.08047	0.205606	0.204784	1	0.0909091		9	10	21	13.019	0.391914	0.388687	1	0.047619		9	10	41	48.9418	0.860055	0.84708	1	0.097561		9	1	11	0.205541	0.04659	0.046598	0.454545	0.454545		9	1	21	0.218278	0.078374	0.078399	0.285714	0.285714		9	1	41	0.507165	0.165894	0.165876	0.585366	0.585366		9	3	11	0.378017	0.083513	0.083331	0.454545	0.636364		9	3	21	1.24231	0.152156	0.151475	0.142857	0		9	3	41	4.52514	0.354792	0.351895	0.097561	0.0243902		9	5	11	0.848733	0.108512	0.108182	0.363636	0.363636		9	5	21	3.33208	0.210216	0.208852	0.047619	0		9	5	41	12.3611	0.457521	0.451647	0.146341	0.0731707		9	7	11	1.82778	0.135536	0.135032	0.454545	0.636364		9	7	21	7.29159	0.279915	0.277785	0.190476	0.047619		9	7	41	22.2617	0.541357	0.532805	0.121951	0.0487805		9	9	11	2.67988	0.182619	0.18192	0.818182	0.636364		9	9	21	11.0952	0.337375	0.334589	0.142857	0.047619		9	9	41	38.9872	0.656906	0.645801	0.170732	0.121951
10	10	11	3.1498	0.217549	0.21671	1	0.0909091		10	10	21	13.32	0.422664	0.419276	1	0.0952381		10	10	41	49.5245	0.866124	0.852636	1	0.097561		10	1	11	0.213532	0.042964	0.04298	0.454545	0.454545		10	1	21	0.235218	0.08438	0.084403	0.380952	0.380952		10	1	41	0.539489	0.172449	0.172463	0.609756	0.609756		10	3	11	0.396202	0.084234	0.084058	0.636364	0.727273		10	3	21	1.28598	0.166435	0.165684	0.0952381	0		10	3	41	4.60702	0.384145	0.381107	0.097561	0.0487805		10	5	11	0.881548	0.112877	0.112537	0.363636	0.454545		10	5	21	3.45311	0.225314	0.223827	0.047619	0		10	5	41	12.6112	0.494089	0.488096	0.0731707	0.0731707		10	7	11	1.88609	0.149291	0.14876	0.454545	0.636364		10	7	21	7.41146	0.30546	0.303204	0.190476	0.047619		10	7	41	22.5867	0.582778	0.574094	0.170732	0.097561		10	9	11	2.74383	0.198875	0.198145	0.818182	0.636364		10	9	21	11.3237	0.370809	0.367868	0.142857	0.047619		10	9	41	39.4552	0.72696	0.715162	0.146341	0.146341
