Tiros,met0,met1,met2,met3,met4,met5,met6,met7,met8,met9,met10,met11,met12,met13,met14,met15,met16,met17,met18,met19,met20,met21,met22,met23,met24,met25,met26,met27,met28,met29,met30,met31,met32,met33,met34,met35,met36,met37,met38
conj10,25.7143,33.7143,9.28571,6.28571,1.71429,44.7143,44.7143,1.92527,9.71429,1.71429,9.71429,9.71429,48.7143,33.7143,31.9717,11.3299,48.7143,48.7143,33.7143,31.9717,33.7143,11.3299,0.0,1.77163,0.223975,0.0,2.08466,1.75049,0.0,9.71429,1.71429,0.0,17.7143,17.7143,0.0,17.7143,9.71429,0.0,9.71429
ex5,22.8667,46.9921,16.8667,2.13333,21.8667,37.8667,45.8986,9.13333,2.13333,9.13333,24.8667,23.2855,48.8667,28.8667,20.8667,10.5283,48.8667,48.8667,28.8667,20.8667,28.8667,10.5283,0.0,21.8667,19.5012,0.0,5.78095,0.71529,0.0,13.6095,0.148509,0.0,5.86667,13.8667,0.0,21.8667,15.1524,0.0,16.6667
cuadr8,4.56522,20.4348,19.5652,3.56522,11.5652,20.4348,20.4348,5.53362,5.29193,1.77985,19.4652,3.56522,20.4348,20.4348,11.8454,0.438724,20.4348,20.4348,20.4348,11.8454,20.4348,0.438724,3.28478,3.56522,3.56522,3.28478,5.46752,5.53362,3.28478,3.56522,1.77985,3.28478,3.56522,3.56522,3.28478,3.56522,5.29193,3.28478,12.7652
cuadr4,0.0,18.1203,5.52632,1.25885,3.8711,22.0529,25.4737,16.5263,2.47368,0.526316,28.5263,4.97505,25.4737,9.0175,16.495,22.6028,25.4737,25.4737,9.0175,16.495,9.0175,22.6028,0.0,0.107226,2.47368,0.0,12.5263,5.52632,0.0,5.52632,9.52632,0.0,2.47368,5.52632,0.0,0.473684,2.47368,0.0,5.12632
cuadr2,16.9286,43.9286,16.9286,9.22175,8.92857,32.9286,45.9667,9.93463,7.07143,5.00658,8.92857,16.9286,47.9286,32.1765,32.9286,18.098,47.9286,47.9286,32.1765,32.9286,32.1765,18.098,31.9286,8.92857,8.92857,31.9286,5.80408,6.57247,31.9286,0.377376,2.82898,31.9286,8.92857,32.9286,31.9286,23.3286,8.92857,31.9286,15.3
r3,0.0,0.205327,0.621908,3.16667,0.881452,0.344884,6.12255,0.10436,3.16667,3.16667,5.28922,2.44608,4.04944,0.724862,8.95854,6.29033,4.04944,4.04944,0.724862,8.95854,0.724862,6.29033,0.0,11.1667,3.16667,0.0,0.00408916,0.0174155,0.0,11.1667,3.16667,0.0,35.1667,3.16667,0.0,14.1667,3.16667,0.0,2.83333
cb3,22.0556,49.0556,8.94444,0.0442622,0.232766,49.0556,49.0556,8.94444,4.838,0.113738,8.94444,3.82751,38.0556,22.0556,38.0556,29.8397,38.0556,38.0556,22.0556,38.0556,22.0556,29.8397,14.0556,0.174841,0.237228,14.0556,4.94444,7.66687,14.0556,0.0111557,0.0621023,14.0556,5.05556,0.680916,14.0556,2.32222,3.26984,14.0556,8.94444
ex3,33.2353,37.2353,41.2353,42.2353,49.2353,5.76471,23.1639,5.76471,24.5924,10.2353,25.2174,18.2353,26.2353,4.74377,3.98478,0.164226,26.2353,26.2353,4.74377,3.98478,4.74377,0.164226,26.2353,26.2353,42.2353,26.2353,10.2353,2.23529,26.2353,26.4991,10.6466,26.2353,21.0588,10.2353,26.2353,34.2353,24.5924,26.2353,18.2353
lineal1,7.12,42.12,23.5932,21.7302,39.12,40.6272,47.8343,22.9604,9.37397,16.411,23.12,31.12,39.37,46.12,48.4408,29.4374,39.37,39.37,46.12,48.4408,46.12,29.4374,23.12,7.12,15.12,23.12,1.31915,5.56423,23.12,3.88,5.94185,23.12,15.12,15.12,23.12,12.32,9.37397,23.12,13.32
rp70,0.0,0.000633605,0.245418,0.373891,0.350803,0.269427,2.99183,0.00175412,1.74827,0.166841,2.47722,0.814687,3.07809,3.08667,7.42214,7.197,3.07809,3.07809,3.08667,7.42214,3.08667,7.197,0.0,0.13749,0.148767,0.0,8.00924e-11,0.000455475,0.0,0.147432,0.023846,0.0,0.597222,0.566865,0.0,0.597222,0.102222,0.0,0.427778
